NAME,TREND
A HANNAN,-1
A JAY,-2
A K I L,-1
A LAH,1
A LIAN,-1
A MEI,-1
A MIN,-1
A RIN,1
A S M,-1
A YING,-1
AA ISHAH,1
AABAN,-3
AABAS,-1
AABEER,1
AABEL,-1
AABHA,1
AABIA,1
AABID,-3
AABIDA,1
AABIDAMMAR,-1
AABIR,-1
AABIS,-1
AABISH,1
AABRIELLA,1
AAD,0
AAD TY,-1
AADA,1
AADAM,-4
AADAN,-2
AADARSH,-3
AADEN,-3
AADESH,-2
AADHAM,-1
AADHARSH,-1
AADHAV,-2
AADHAVAN,-1
AADHEEN,-1
AADHI,-1
AADHIL,-1
AADHIRA,2
AADHITEYA,-1
AADHITHYA,-1
AADHYA,2
AADHYAN,-1
AADI,-3
AADIL,-3
AADILA,2
AADIN,-1
AADINEER,-1
AADISH,-1
AADISON,1
AADIT,-3
AADITH,-1
AADITRI,2
AADITYA,-3
AADITYARAM,-1
AADIV,-1
AADJE,1
AADL,-1
AADLE,-1
AADON,-2
AADRA,1
AADRIAN,-2
AADRIENNE,1
AADRIT,-1
AADU,-2
AADVIK,-2
AADVIKA,2
AADYA,1
AADYN,-3
AAEEDAH,1
AAEESHA,1
AAELLA,1
AAEMA,1
AAEN,-1
AAESHA,1
AAF,1
AAFAF,1
AAFARIDA,1
AAFIA,2
AAFIYA,2
AAFIYAH,1
AAFKE,0
AAFKEA,1
AAFKO,-1
AAFREEN,3
AAFRIN,1
AAGAM,-2
AAGAT,-1
AAGE,-5
AAGJE,2
AAGMAN,-2
AAGMANPAL,-1
AAGOT,2
AAGOTH,1
AAGYADEEP,1
AAHAAN,-2
AAHAD,-2
AAHAN,-3
AAHANA,3
AAHIL,-3
AAHLIAH,1
AAHLIANA,1
AAHLIYA,1
AAHLIYAH,1
AAHNA,3
AAHRON,-3
AAIANA,1
AAIDAH,1
AAIDAN,-2
AAIDEN,-2
AAIDYN,-1
AAIJAY,-1
AAILA,3
AAILAH,1
AAILIYAH,1
AAILYAH,2
AAIMA,2
AAINA,2
AAIRA,3
AAIRAH,3
AAISHA,3
AAISHA MALEK,1
AAISHAH,3
AAISHAH AMINA,1
AAIYANA,1
AAIYLA,1
AAIZA,3
AAIZAH,1
AAJA,1
AAJAH,2
AAJAYLAH,1
AAJON,-1
AAKANKSHA,2
AAKARSH,-3
AAKASH,-3
AAKASHDEEP,-1
AAKEEM,-1
AAKESH,-1
AAKIF,-1
AAKIFA,1
AAKIFAH,1
AAKILAH,1
AAKIRA,1
AAKIYAH,1
AAKRITI,2
AAKRUTI,1
AALA,3
AALAA,2
AALAA AHMAD,1
AALAIYA,1
AALAIYAH,2
AALANA,1
AALANAH,1
AALANI,1
AALAP,-1
AALAY,-1
AALAYA,3
AALAYAH,3
AALAYIAH,1
AALAYJAH,1
AALAYNA,1
AALAYSHA,1
AALAYSIA,1
AALBERT,-1
AALBJORG,1
AALBJORN,-1
AALDERICH,-1
AALDERK,-1
AALDRIK,-1
AALE,-1
AALEAH,3
AALEAHYA,1
AALEEM,-1
AALEEN,2
AALEEYA,1
AALEEYAH,1
AALEIA,1
AALEIGHA,2
AALEIYAH,1
AALESHA,1
AALEXIS,2
AALEXUS,1
AALEYA,2
AALEYAH,3
AALEYAH MAE,1
AALGEIR,-1
AALHEIUR,1
AALI,-1
AALIA,3
AALIAAN,-1
AALIAH,3
AALIANA,1
AALIAS,-1
AALIAYAH,1
AALIAYH,1
AALICIA,1
AALIEGHA,1
AALIHA,1
