name,trend
AUGUST,2
LUN,1
JANVIER,2
JAS,3
JUNE,1
JULY,1
JAN,2
MAR,3
JUN,1
MAI,2
MARDI,1
MARCH,1
MAY,1
MONDAY,1
MON,1
NOVEMBER,1
SATURDAY,1
SAM,3
TUE,1
THU,1
SUN,3
SUNDAY,1
A LIAN,1
A MEI,1
A MIN,1
A YING,1
AADHYA,1
AADYA,1
AAFKE,1
AALIJAH,1
AAMARI,1
AAREN,2
AAREON,1
AARIAN,1
AARIN,2
AARION,1
AARIS,2
AARIZ,1
AARON,1
AARYA,3
AARYN,3
AAYAN,1
AAYAT,1
ABBE,1
ABBEY,1
ABDIEL,1
ABE ABRAHAM,1
ABEER,2
ABELL,1
ABER,1
ABEY,1
ABHIJOT,1
ABI,1
ABIE,1
ABIJAH,1
ABIJOT,1
ABIMBOLA,1
ABIODUN,1
ABIOLA,2
ABIR,2
ABNEET,1
ABNEY,1
ABRAAR,1
ABRAR,2
ABREY,1
ABRIEL,2
ABUL,1
ABYAN,3
ACE,1
ACELIN,1
ACELY,1
ACHAL,1
ACHIM JOACHIM,1
AD ADRIAAN,1
AD ADRIANUS,1
ADA,1
ADAIAH,1
ADAIN,1
ADAIR,1
ADAL,1
ADALID,1
ADAMA,2
ADAN,2
ADAR,2
ADARSH,2
ADASON,1
ADDA,1
ADDI,1
ADDIE,1
ADDIS,1
ADDISEN,1
ADDISON,2
ADDY,1
ADDYSON,1
ADEAN,1
ADEBISI,1
ADEBOLA,1
ADEDAYO,1
ADEDOYIN,1
ADEEB,1
ADEEN,2
ADEL,2
ADELL,1
ADELYN,1
ADEMIDE,2
ADEN,1
ADEOLA,1
ADEOLUWA,1
ADETOLA,1
ADEYINKA,2
ADGIE,1
ADI,3
ADI ADOLF,1
ADI ADOLPH,1
ADIAN,2
ADIE,1
ADIEL,1
ADISA,2
ADISEN,1
ADISON,1
ADISSON,1
ADJANI,1
ADLAI,1
ADLEE,1
ADLEY,2
ADLIN,1
ADOM,1
ADONAI,2
ADONIA,1
ADONIAH,2
ADRAIN,1
ADREAN,2
ADRI,2
ADRIAN,1
ADRIANE,1
ADRIANN,1
ADRIANNE,1
ADRIE,1
ADRIEL,1
ADRIELLE,1
ADRIEN,2
ADRIENE,1
ADRIENN,1
ADRIENNE,1
ADRYAN,2
ADRYN,1
ADY,1
ADYAN,1
ADYNN,1
ADYSON,1
AE,1
AEDAN,1
AEDEN,1
AEDYN,2
AEKAM,1
AEMON,1
AEON,2
AERION,1
AERON,3
AEVRIEL,1
AFNAN,3
AFSHEEN,1
AFSHIN,1
AFTON,2
AGA AGNIESZKA,1
AGAM,1
AGAMJOT,1
AGAMPREET,1
AGAPE,2
AGI AGNES,1
AGUEK,1
AH,2
AHMANI,1
AHMARI,1
AHMED,1
AHMI,2
AHSTYN,1
AI BIN,1
AI BING,1
AI CHUAN,1
AI CHUN,1
AI DI,1
AI DONG,1
AI FANG,1
AI FEN,1
AI FENG,1
AI FU,1
AI GUO,1
AI HONG,1
AI HUA,1
AI HUI,1
AI JIE,1
AI JU,1
AI JUAN,1
AI JUN,1
AI KUN,1
AI LAN,1
AI LI,1
AI LIAN,1
AI LIANG,1
AI LIN,1
AI LING,1
AI MEI,1
AI MIN,1
AI MING,1
AI NING,1
AI PING,1
AI QIN,1
AI QING,1
AI QUN,1
AI RONG,1
AI RU,1
AI TING,1
AI WEI,1
AI WEN,1
AI WU,1
AI XIA,1
AI XIANG,1
AI XIAO,1
AI XIN,1
AI XUE,1
AI YAN,1
AI YIN,1
AI YING,1
AI YUAN,1
AI YUE,1
AI YUN,1
AI ZHAO,1
AI ZHEN,1
AI ZHI,1
AI ZHONG,1
AI ZHU,1
AIDAN,1
AIDEEN,2
AIDEN,1
AIDY,1
AIDYN,2
AIDYNN,1
AIJALON,1
AIKAM,1
AIKAMDEEP,1
AILEN,1
AIMAL,2
AIMAN,2
AIMAR,1
AIME,1
AIMEN,3
AIN,1
AINSLEIGH,2
AINSLEY,2
AINSLIE,2
AIRA,1
AIREN,1
AIREON,1
AIRES,1
AIRYN,2
AISA,1
AISOSA,1
AIVAN,1
AIVEN,1
AJ,1
AJA,1
AJACK,1
AJAE,1
AJAI,1
AJAK,1
AJALON,1
AJANG,1
AJANI,1
AJAY,1
AJEE,1
AJEET,1
AJOK,1
AKAI,1
AKAM,1
AKASH,1
AKASHA,1
AKASHDEEP,1
AKHILA KUMAR,1
AKI,2
AKIA,1
AKIDA,1
AKIE,1
AKILA,1
AKILI,1
AKIRA,2
AKIVA,1
AKO,1
AKOT,1
AKUM,1
AL ALBERT,1
AL ALFRED,1
ALA,2
ALAA,3
ALAIRE,1
ALAK,1
ALANE,1
ALANTE,1
ALARIC,1
ALAT,1
ALAYE,1
ALBANIE,1
ALBI,1
ALBI ALBERT,1
ALBY,1
ALBY ALBERT,1
ALDEAN,1
ALDEN,1
ALDIE,1
ALDINE,1
ALDYN,2
ALEC,1
ALEC ALEXANDER,2
ALECK ALEXANDER,1
ALEE,2
ALEI,1
ALEK,1
ALEKS,1
ALEKSA,3
ALEKSANDR ALIAKSANDR,1
ALEKSANDR OLEKSANDR,1
ALEKSANDR OLEXANDR,1
ALEKSEI ALJOSCHA,3
ALEKSEJ ALIAKSEI,1
ALEKSEY,1
ALEKSI,1
ALEKSIS,1
ALEM,1
ALEN,1
ALEPH,1
ALES,1
ALESI,1
ALEX,5
ALEX ALEXANDER,1
ALEX ALEXANDRA,1
ALEXANDR OLEKSANDR,1
ALEXANDR OLEXANDR,1
ALEXANDRE,1
ALEXEI,1
ALEXEI ALJOSCHA,3
ALEXEIS,1
ALEXEJ ALJOSCHA,3
ALEXES,1
ALEXEY ALJOSCHA,3
ALEXI,2
ALEXIA,1
ALEXIE,1
ALEXISS,1
ALEXIX,1
ALEXIZ,1
ALEXS,1
ALEXSIS,2
ALEXUS,1
ALEXX,2
ALEXY,1
ALEXYZ,1
ALEY,1
ALFIE,1
ALGENE,1
ALGIA,1
ALGIE,1
ALI,1
ALIAS,1
ALIE,2
ALIER,1
ALII,1
ALIJA,1
ALIJAH,1
ALIJHA,1
ALIK,1
ALIN,3
ALIQUE,1
ALISHA,1
ALISON,1
ALIX,1
ALIXANDRA,1
ALIXX,1
ALIYAN,1
ALIZE,1
ALJE,1
ALJET,1
ALKE,1
ALKIS ALKIVIADIS,1
ALLA,1
ALLAINE,1
ALLANTE,1
ALLE,1
ALLEN,1
ALLEX,2
ALLEXIS,1
ALLISON,1
ALLY,1
ALLYAS,1
ALLYN,1
ALLYUS,1
ALMA,1
ALMAS,1
ALMER,1
ALMO,1
ALOIS LOISL,2
ALOISE,1
ALOK,1
ALONZIA,1
ALOYS LOISL,2
ALPHONSE,1
ALTAIR,1
ALTONIA,1
ALVA,1
ALVERN,1
ALVIA,1
ALWYN,1
ALWYNE,1
ALX,1
ALY,2
ALYAS,1
ALYJAH,1
ALYK,1
ALYN,2
ALYX,1
AM,1
AMAAN,1
AMAANAT,1
AMABILE,1
AMADEA,1
AMADI,1
AMAHRI,1
AMAL,2
AMAN,2
AMANBIR,1
AMANDA,1
AMANDEEP,2
AMANDIP,1
AMANDO,1
AMANI,2
AMANJEET,2
AMANJIT,1
AMANJOT,2
AMANPREET,2
AMANTI,1
AMANVEER,1
AMANVIR,1
AMAR,1
AMARDEEP,2
AMARE,1
AMAREE,1
AMARI,3
AMARIAH,1
AMARIE,1
AMARII,1
AMARIN,1
AMARIS,1
AMARJIT,1
AMARJOT,1
AMARNI,1
AMARPAL,1
AMARPREET,2
AMARRI,1
AMARY,1
AMAURIE,1
AMAY,1
AMAZIAH,1
AMAZIN,1
AMBAR,1
AMBAWALAGE,1
AMBER,1
AMBI,1
AMEDEE,1
AMEEK,1
AMEEN,1
AMEET,1
AMEL,2
AMEN,2
AMER,1
AMERAN,1
AMERE,1
AMERICUS,1
AMERY,2
AMETHYST,1
AMEYA,2
AMEZ,1
AMI,2
AMIEL,1
AMIERE,1
AMIL,1
AMILLION,1
AMIN,1
AMINDEEP,1
AMINDER,1
AMINE,1
AMIR,1
AMIRE,1
AMIT,2
AMITOJ,1
AMITPAL,1
AMMAN,1
AMMER,1
AMNEET,1
AMNINDER,1
AMOL,1
AMONI,2
AMOR,1
AMORI,1
AMORIE,1
AMOUR,1
AMOURI,1
AMRAN,2
AMREET,1
AMREN,1
AMRINDER,1
AMRIT,3
AMRITPAL,1
AMRON,1
AMTOJ,1
AMUN,1
AMZIE,1
AN,2
AN AN,1
AN CHI,1
AN DE,1
